Device: cpu  λs=[0.04, 0.06, 0.08, 0.1, 0.15, 0.2]  seeds=[0, 1, 2]  epochs=15
Loaded MNIST MLP — 1,863,690 params, frozen.

── λ=0.04 seed=0 ── pruner params: 612,611
  [λ=0.04 seed=2] step 1400 ep6 | loss +0.018 | orig 0.988 pruned 0.988 | pruned% h1= 66.6 h2= 57.7 (avg= 62.2)
  [λ=0.04 seed=2] step 1500 ep7 | loss +0.020 | orig 0.992 pruned 0.992 | pruned% h1= 67.0 h2= 57.7 (avg= 62.4)
  [λ=0.04 seed=2] step 1600 ep7 | loss +0.043 | orig 0.992 pruned 0.988 | pruned% h1= 67.0 h2= 57.7 (avg= 62.4)
  [λ=0.04 seed=2] step 1700 ep8 | loss +0.043 | orig 0.996 pruned 0.996 | pruned% h1= 67.1 h2= 57.7 (avg= 62.4)
  [λ=0.04 seed=2] step 1800 ep8 | loss +0.032 | orig 0.988 pruned 0.996 | pruned% h1= 67.4 h2= 57.7 (avg= 62.5)
  [λ=0.04 seed=2] step 1900 ep9 | loss +0.036 | orig 1.000 pruned 0.992 | pruned% h1= 67.4 h2= 57.7 (avg= 62.5)
  [λ=0.04 seed=2] step 2000 ep9 | loss +0.036 | orig 1.000 pruned 1.000 | pruned% h1= 67.6 h2= 57.7 (avg= 62.6)
  [λ=0.04 seed=2] step 2100 ep9 | loss +0.041 | orig 1.000 pruned 1.000 | pruned% h1= 67.7 h2= 57.7 (avg= 62.7)
  [λ=0.04 seed=2] step 2200 ep10 | loss +0.048 | orig 0.996 pruned 0.992 | pruned% h1= 67.8 h2= 57.7 (avg= 62.7)
  [λ=0.04 seed=2] step 2300 ep10 | loss +0.036 | orig 0.996 pruned 0.996 | pruned% h1= 68.0 h2= 57.7 (avg= 62.8)
  [λ=0.04 seed=2] step 2400 ep11 | loss +0.034 | orig 0.992 pruned 0.996 | pruned% h1= 68.5 h2= 57.7 (avg= 63.1)
  [λ=0.04 seed=2] step 2500 ep11 | loss +0.036 | orig 0.992 pruned 0.992 | pruned% h1= 69.1 h2= 57.9 (avg= 63.5)
  [λ=0.04 seed=2] step 2600 ep12 | loss +0.038 | orig 1.000 pruned 0.996 | pruned% h1= 69.1 h2= 57.9 (avg= 63.5)
