Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  [λ=0.05 seed=1] step 3500 ep15 | loss +0.041 | orig 0.996 pruned 0.996 | pruned% h1= 44.7 h2=  0.0 h3= 46.7 h4= 65.2 (avg= 39.2)
  → [λ=0.05 seed=1] final keep 0.608  pruned 39.16%  | per-layer kept [283, 512, 273, 178]/[512, 512, 512, 512]  | orig→pruned test acc 98.32→97.97%  | 61s

── λ=0.05 seed=2 ── pruner params: 711,429
  [λ=0.05 seed=2] step  100 ep1 | loss +0.043 | orig 0.996 pruned 0.992 | pruned% h1=  0.0 h2=  1.2 h3=  4.1 h4= 47.5 (avg= 13.2)
  [λ=0.05 seed=2] step  200 ep1 | loss +0.045 | orig 0.992 pruned 0.996 | pruned% h1=  1.4 h2=  2.0 h3=  1.2 h4= 64.3 (avg= 17.2)
  [λ=0.05 seed=2] step  300 ep2 | loss +0.036 | orig 0.988 pruned 0.996 | pruned% h1=  4.5 h2=  0.8 h3=  7.8 h4= 64.3 (avg= 19.3)
  [λ=0.05 seed=2] step  400 ep2 | loss +0.041 | orig 0.996 pruned 0.996 | pruned% h1=  6.1 h2=  0.0 h3= 23.0 h4= 65.4 (avg= 23.6)
  [λ=0.05 seed=2] step  500 ep3 | loss +0.038 | orig 0.996 pruned 0.996 | pruned% h1=  8.6 h2=  0.0 h3= 35.2 h4= 65.8 (avg= 27.4)
  [λ=0.05 seed=2] step  600 ep3 | loss +0.040 | orig 0.992 pruned 0.996 | pruned% h1= 10.0 h2=  0.0 h3= 39.3 h4= 66.0 (avg= 28.8)
  [λ=0.05 seed=2] step  700 ep3 | loss +0.045 | orig 0.988 pruned 0.988 | pruned% h1= 10.2 h2=  0.0 h3= 40.0 h4= 66.0 (avg= 29.1)
  [λ=0.05 seed=2] step  800 ep4 | loss +0.014 | orig 0.988 pruned 0.992 | pruned% h1= 11.7 h2=  0.0 h3= 41.4 h4= 66.0 (avg= 29.8)
  [λ=0.05 seed=2] step  900 ep4 | loss +0.033 | orig 0.996 pruned 0.996 | pruned% h1= 13.7 h2=  0.0 h3= 42.2 h4= 66.0 (avg= 30.5)
  [λ=0.05 seed=2] step 1000 ep5 | loss +0.044 | orig 1.000 pruned 1.000 | pruned% h1= 13.9 h2=  0.0 h3= 42.2 h4= 66.0 (avg= 30.5)
  [λ=0.05 seed=2] step 1100 ep5 | loss +0.046 | orig 1.000 pruned 0.996 | pruned% h1= 14.1 h2=  0.0 h3= 43.4 h4= 66.0 (avg= 30.9)
  [λ=0.05 seed=2] step 1200 ep6 | loss +0.046 | orig 0.996 pruned 0.992 | pruned% h1= 14.5 h2=  0.0 h3= 43.9 h4= 66.0 (avg= 31.1)
  [λ=0.05 seed=2] step 1300 ep6 | loss +0.049 | orig 0.988 pruned 0.992 | pruned% h1= 17.4 h2=  0.0 h3= 44.5 h4= 66.0 (avg= 32.0)
  [λ=0.05 seed=2] step 1400 ep6 | loss +0.049 | orig 0.996 pruned 0.988 | pruned% h1= 20.9 h2=  0.0 h3= 44.9 h4= 66.0 (avg= 33.0)
  [λ=0.05 seed=2] step 1500 ep7 | loss +0.042 | orig 0.996 pruned 1.000 | pruned% h1= 27.5 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 34.7)
