Device: cpu  λs=[0.01, 0.02, 0.03, 0.05, 0.08, 0.12]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_wide2048.pt: hidden=[2048], 1,628,170 params, frozen.

── λ=0.01 seed=0 ── pruner params: 415,746
  [λ=0.01 seed=2] step 2800 ep12 | loss +0.004 | orig 0.996 pruned 1.000 | pruned% h1= 66.6 (avg= 66.6)
  [λ=0.01 seed=2] step 2900 ep13 | loss +0.011 | orig 0.992 pruned 1.000 | pruned% h1= 66.8 (avg= 66.8)
  [λ=0.01 seed=2] step 3000 ep13 | loss +0.009 | orig 1.000 pruned 1.000 | pruned% h1= 66.8 (avg= 66.8)
  [λ=0.01 seed=2] step 3100 ep14 | loss +0.004 | orig 0.992 pruned 0.996 | pruned% h1= 66.9 (avg= 66.9)
  [λ=0.01 seed=2] step 3200 ep14 | loss +0.023 | orig 1.000 pruned 0.996 | pruned% h1= 67.1 (avg= 67.1)
  [λ=0.01 seed=2] step 3300 ep15 | loss +0.014 | orig 1.000 pruned 0.996 | pruned% h1= 67.1 (avg= 67.1)
  [λ=0.01 seed=2] step 3400 ep15 | loss +0.013 | orig 1.000 pruned 0.996 | pruned% h1= 67.3 (avg= 67.3)
  [λ=0.01 seed=2] step 3500 ep15 | loss +0.013 | orig 1.000 pruned 0.996 | pruned% h1= 67.5 (avg= 67.5)
  → [λ=0.01 seed=2] final keep 0.325  pruned 67.48%  | per-layer kept [666]/[2048]  | orig→pruned test acc 98.16→98.27%  | 64s

── λ=0.02 seed=0 ── pruner params: 415,746
  [λ=0.02 seed=0] step  100 ep1 | loss +0.050 | orig 0.996 pruned 0.969 | pruned% h1= 60.1 (avg= 60.1)
  [λ=0.02 seed=0] step  200 ep1 | loss +0.041 | orig 1.000 pruned 0.992 | pruned% h1= 63.8 (avg= 63.8)
  [λ=0.02 seed=0] step  300 ep2 | loss +0.028 | orig 0.996 pruned 0.988 | pruned% h1= 66.5 (avg= 66.5)
  [λ=0.02 seed=0] step  400 ep2 | loss +0.024 | orig 0.996 pruned 0.992 | pruned% h1= 65.2 (avg= 65.2)
  [λ=0.02 seed=0] step  500 ep3 | loss +0.014 | orig 0.992 pruned 0.996 | pruned% h1= 69.8 (avg= 69.8)
  [λ=0.02 seed=0] step  600 ep3 | loss +0.032 | orig 1.000 pruned 0.992 | pruned% h1= 69.2 (avg= 69.2)
  [λ=0.02 seed=0] step  700 ep3 | loss +0.021 | orig 0.996 pruned 0.992 | pruned% h1= 70.6 (avg= 70.6)
  [λ=0.02 seed=0] step  800 ep4 | loss +0.030 | orig 0.996 pruned 0.988 | pruned% h1= 72.4 (avg= 72.4)
  [λ=0.02 seed=0] step  900 ep4 | loss +0.031 | orig 0.996 pruned 0.992 | pruned% h1= 71.3 (avg= 71.3)
  [λ=0.02 seed=0] step 1000 ep5 | loss +0.035 | orig 0.996 pruned 0.996 | pruned% h1= 72.7 (avg= 72.7)
